Country of president,President name,Destination country,Destination city,"Date start, yyyy-mm-dd","Date start, d.m.yyyyy","Date end, yyyy-mm-dd","Date end, d.m.yyyy",Subject,Source,More info
China,Jiang Zemin,Chile,,2001-04-05,5.4.2001,2001-04-07,7.4.2001,Tour of Latin Americca,china.org.cn/english/2001/Apr/9917.htm,https://www.fmprc.gov.cn/web/ziliao_674904/zt_674979/ywzt_675099/2355_676073/
China,Jiang Zemin,Argentina,,2001-04-07,7.4.2001,2001-04-09,9.4.2001,Tour of Latin Americca,china.org.cn/english/2001/Apr/9917.htm,https://www.fmprc.gov.cn/web/ziliao_674904/zt_674979/ywzt_675099/2355_676073/
China,Jiang Zemin,Uruguay,,2001-04-10,10.4.2001,2001-04-11,11.4.2001,Tour of Latin Americca,china.org.cn/english/2001/Apr/9917.htm,https://www.fmprc.gov.cn/web/ziliao_674904/zt_674979/ywzt_675099/2355_676073/
China,Jiang Zemin,Brazil,,2001-04-11,11.4.2001,2001-04-12,12.4.2001,Tour of Latin Americca,china.org.cn/english/2001/Apr/9917.htm,https://www.fmprc.gov.cn/web/ziliao_674904/zt_674979/ywzt_675099/2355_676073/
China,Jiang Zemin,Cuba,Havana,2001-04-12,12.4.2001,2001-04-12,12.4.2001,jJiang Zemin-Fidel Castro Summit,https://www.hrw.org/news/2001/04/11/jiang-zemin-fidel-castro-summit#,https://www.fmprc.gov.cn/web/ziliao_674904/zt_674979/ywzt_675099/2355_676073/2380_676089/
China,Jiang Zemin,Venezuela,,2001-04-15,15.4.2001,2001-04-17,17.4.2001,Tour of Latin Americca,http://www.china.org.cn/english/2001/Apr/9917.htm,https://www.fmprc.gov.cn/web/ziliao_674904/zt_674979/ywzt_675099/2355_676073/
China,Jiang Zemin,Russia,"Moscov, Volgograd",2001-07-16,16.7.2001,2001-07-17,17.7.2001,"European Tour, singing a friendship pact",https://www.nytimes.com/2001/07/17/world/russia-and-china-sign-friendship-pact.html,
China,Jiang Zemin,Belarus,,2001-07-19,19.7.2001,2001-07-19,19.7.2001,European Tour,https://www.fmprc.gov.cn/mfa_eng//wjb_663304/zzjg_663340/dozys_664276/gjlb_664280/3140_664302/3142_664306/t16627.shtml,
China,Jiang Zemin,Moldova,,2001-07-20,20.7.2001,2001-07-20,20.7.2001,European tour,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zzjg_663340/dozys_664276/gjlb_664280/3205_664342/3207_664346/t16708.shtml,
China,Jiang Zemin,Ukraine,,2001-07-21,21.7.2001,2001-07-21,21.7.2001,European tour,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zzjg_663340/dozys_664276/gjlb_664280/3205_664342/3207_664346/t16711.shtml,
China,Jiang Zemin,Malta,Valletta,2001-07-23,23.7.2001,2001-07-24,24.7.2001,European Tour,http://en.people.cn/200107/24/eng20010724_75650.html,
China,Jiang Zemin,North Korea,,2001-09-04,4.9.2001,2001-09-04,4.9.2001,General Secretary Jiang Zemin Holds Talks with General Secretary Kim Jong Il,https://www.fmprc.gov.cn/web/ziliao_674904/zt_674979/ywzt_675099/2355_676073/2361_676087/,
China,Jiang Zemin,Germany,,2002-04-08,8.4.2002,2002-04-13,13.4.2002,"Tour in Europe,Africa,Iran",http://en.people.cn/200204/10/eng20020410_93792.shtml,
China,Jiang Zemin,Libya,,2002-04-13,13.4.2002,2002-04-13,13.4.2002,"Tour in Europe,Africa,Iran",https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zzjg_663340/xybfs_663590/gjlb_663594/2848_663686/2850_663690/t16391.shtml,https://www.economist.com/asia/2002/04/25/chinas-worrying-friendships
China,Jiang Zemin,Nigeria,,2002-04-15,15.4.2002,2002-04-15,15.4.2002,"Tour in Europe,Africa,Iran",https://www.fmprc.gov.cn/mfa_eng//wjb_663304/zzjg_663340/fzs_663828/gjlb_663832/3059_664144/3061_664148/t16559.shtml,
China,Jiang Zemin,Tunisia,,2002-04-16,16.4.2002,2002-04-20,20.4.2002,"Tour in Europe,Africa,Iran",http://pg.china-embassy.org/eng/xwdt/t48072.htm,
China,Jiang Zemin,Iran,Tehran,2002-04-20,20.4.2002,2002-04-22,22.4.2002,"Tour in Europe,Africa,Iran",http://www.chinaembassy.org.zw/eng/xwdt/t148965.htm,https://www.fmprc.gov.cn/mfa_eng/wjb_663304/zzjg_663340/xybfs_663590/gjlb_663594/2818_663626/2820_663630/t16325.shtml
China,Jiang Zemin,Kazakhstan,Almaty,2002-06-03,3.6.2002,2002-06-03,3.6.2002,Conference on Interaction and Confidence Building Measures,https://www.fmprc.gov.cn/mfa_eng/topics_665678/3729_666010/t19104.shtml,
